name,age,gender,state,income_bracket,education_level,occupation_sector,religion,primary_cause,donation_frequency,avg_gift_usd,lifetime_donation_usd,last_gift_date,recurring_donor,preferred_channel,event_attendance_cnt,volunteer_hours_yr,email_engagement,communication_pref,employer_matching
沈慧,30,Male,PA,<50k,College,Other,Catholic,Healthcare,Yearly,150.0,1500.0,2025-02-09,True,Email,2,0,0.559,Email,False
杨丹丹,43,Female,Other,<50k,College,Tech,Christian,Environment,Sporadic,71.69,143.38,2024-06-19,False,DirectMail,1,0,0.062,DirectMail,False
Tonya Garcia,85,Female,PA,50-100k,Graduate,Other,Christian,Other,Yearly,212.39,849.56,2024-04-05,False,Email,1,0,0.283,Email,False
Steven Ross,52,Male,TX,100-250k,College,Other,Catholic,PovertyRelief,Sporadic,790.83,6326.64,2024-02-25,False,Email,0,20,0.271,Email,False
郭明,49,Female,Other,100-250k,HighSchool,Tech,None,Healthcare,Yearly,314.2,2827.8,2022-09-30,False,Email,1,0,0.482,Email,False
Lori Morgan,53,Female,Other,50-100k,HighSchool,Education,Other,Healthcare,Yearly,241.26,1930.08,2023-05-01,False,SMS,0,0,0.096,SMS,False
陈洁,32,Female,Other,>250k,College,Other,None,Education,Yearly,1288.44,1288.44,2023-05-20,False,SMS,0,0,0.168,SMS,False
Tyler Ross,35,Male,NY,50-100k,College,Other,Christian,Environment,Sporadic,352.33,352.33,2023-01-06,False,Email,3,0,0.467,Email,False
高帅,26,Male,TX,50-100k,College,Other,Catholic,PovertyRelief,Yearly,135.64,542.56,2023-10-28,False,Email,0,0,0.219,Email,False
Mario Macdonald,42,Male,FL,100-250k,College,Other,Christian,PovertyRelief,Sporadic,371.5,2229.0,2022-09-03,False,Email,0,0,0.213,Email,False
Jason Khan,46,Male,FL,100-250k,College,Healthcare,Catholic,Healthcare,Sporadic,415.04,1660.16,2023-02-24,False,Email,0,0,0.249,Email,False
William Porter,18,Male,NY,<50k,College,Finance,Christian,Education,Yearly,115.29,576.45,2023-09-20,False,Email,0,10,0.033,Email,False
Cynthia Gregory,38,Female,TX,>250k,College,Healthcare,None,AnimalWelfare,Sporadic,3000.0,15000.0,2024-03-03,True,SMS,0,0,0.263,SMS,False
姜龙,67,Male,Other,100-250k,Graduate,Other,Christian,AnimalWelfare,Quarterly,627.96,20094.72,2023-06-18,False,Email,0,0,0.051,Email,False
Maria White,51,Female,OH,>250k,Graduate,Education,Christian,Education,Quarterly,739.75,5918.0,2023-04-14,True,SMS,1,0,0.148,SMS,True
Karen Patterson MD,47,Female,Other,<50k,HighSchool,Finance,Other,PovertyRelief,Yearly,96.74,677.18,2024-02-29,False,Email,0,90,0.268,Email,True
李杰,21,Female,IL,<50k,Graduate,Other,None,Environment,Sporadic,150.0,1050.0,2022-10-30,False,Email,0,0,0.155,Email,False
王东,40,Female,Other,50-100k,HighSchool,Tech,Catholic,ChildDevelopment,Quarterly,194.46,7778.4,2022-08-15,True,DirectMail,2,11,0.412,DirectMail,False
Paul Lawson,25,Male,OH,<50k,HighSchool,Other,None,ChildDevelopment,Monthly,92.18,11061.6,2024-08-01,True,Email,1,0,0.478,Email,False
苏桂珍,39,Male,Other,100-250k,College,Other,Christian,Environment,Sporadic,1000.0,10000.0,2023-07-05,False,Email,0,0,0.435,Email,False
王凤英,30,Male,TX,100-250k,Graduate,Finance,None,PovertyRelief,Yearly,403.59,3632.31,2024-04-20,True,Phone,2,0,0.114,Phone,True
张莹,46,Male,Other,100-250k,College,Education,None,Other,Yearly,483.12,2898.72,2023-10-26,False,Phone,0,0,0.3,Phone,False
Colleen Mann,39,Female,CA,>250k,Graduate,Other,Other,AnimalWelfare,Sporadic,1418.24,17018.88,2025-02-18,False,SMS,1,0,0.266,SMS,False
郭明,36,Male,MI,>250k,HighSchool,Tech,None,Education,Monthly,3000.0,252000.0,2024-08-27,True,SMS,1,78,0.097,SMS,False
孙华,18,Male,Other,100-250k,Graduate,Other,None,PovertyRelief,Sporadic,494.97,2969.82,2024-04-25,False,Email,3,0,0.125,Email,False
Ariel Weaver DDS,45,Female,FL,50-100k,HighSchool,Finance,Christian,Healthcare,Sporadic,400.0,800.0,2025-05-13,False,Email,0,0,0.416,Email,False
李秀芳,35,Male,TX,100-250k,College,Education,None,Education,Yearly,627.76,1883.28,2025-06-02,False,Phone,1,0,0.204,Phone,False
Albert Curry,27,Male,Other,100-250k,Graduate,Finance,Catholic,Education,Yearly,934.07,2802.21,2024-07-10,False,Email,5,0,0.512,Email,False
袁辉,49,Female,Other,<50k,College,Healthcare,Christian,AnimalWelfare,Sporadic,57.52,517.68,2023-11-08,False,Email,1,0,0.092,Email,False
Patrick Roman,45,Male,Other,100-250k,Graduate,Other,Christian,AnimalWelfare,Sporadic,856.26,6850.08,2023-10-20,False,Email,1,0,0.388,Email,False
Felicia Hamilton,47,Female,Other,<50k,Graduate,Healthcare,None,PovertyRelief,Monthly,105.05,12606.0,2023-03-11,True,Phone,1,0,0.11,Phone,False
Daniel Moran,43,Male,MI,<50k,Graduate,Other,Other,Other,Sporadic,79.93,319.72,2022-12-08,False,DirectMail,2,0,0.027,DirectMail,False
张英,46,Male,FL,100-250k,Graduate,Other,Christian,Environment,Quarterly,546.05,2184.2,2022-08-07,True,DirectMail,1,0,0.156,DirectMail,False
Kathryn Lee,48,Female,Other,50-100k,HighSchool,Other,Other,PovertyRelief,Quarterly,311.46,8720.88,2024-01-22,True,Email,1,0,0.605,Email,False
李飞,34,Female,IL,50-100k,Graduate,Healthcare,Christian,Education,Sporadic,142.36,1993.04,2023-05-11,True,Email,1,0,0.383,Email,False
师凯,28,Female,CA,<50k,Graduate,Healthcare,Christian,Healthcare,Monthly,77.06,3698.88,2025-04-20,True,DirectMail,2,0,0.263,DirectMail,True
Alejandro Shaw,47,Male,OH,50-100k,Graduate,Other,Other,PovertyRelief,Monthly,362.52,26101.44,2022-08-02,True,SMS,1,31,0.257,SMS,False
Robin Hall,52,Female,Other,50-100k,College,Other,Christian,Healthcare,Monthly,155.22,1862.64,2023-07-24,True,Phone,0,0,0.606,Phone,False
吴瑞,62,Female,TX,50-100k,HighSchool,Finance,Other,PovertyRelief,Quarterly,121.79,2435.8,2022-10-28,False,Email,0,0,0.629,Email,False
Carl Clark,49,Male,Other,>250k,Graduate,Tech,None,Environment,Sporadic,2262.85,11314.25,2024-01-08,False,Email,2,0,0.299,Email,False
黄鑫,47,Male,CA,50-100k,College,Finance,Christian,PovertyRelief,Quarterly,352.62,4231.44,2024-03-30,True,SMS,1,0,0.309,SMS,False
Anna Crane,61,Female,FL,>250k,College,Healthcare,Christian,Healthcare,Yearly,1307.4,1307.4,2023-09-21,False,SMS,1,0,0.27,SMS,False
Christina Smith,32,Female,Other,50-100k,Graduate,Tech,Catholic,Healthcare,Yearly,153.91,461.73,2024-03-07,False,SMS,1,0,0.194,SMS,False
Michael Bennett,60,Male,TX,<50k,College,Healthcare,None,PovertyRelief,Sporadic,62.87,188.61,2024-04-15,False,Email,0,0,0.267,Email,False
郝丹丹,40,Female,Other,50-100k,College,Other,Christian,Education,Monthly,325.46,19527.6,2022-11-01,False,SMS,1,0,0.09,SMS,False
彭飞,34,Male,OH,100-250k,HighSchool,Other,Catholic,Education,Monthly,565.82,40739.04,2024-11-22,True,SMS,1,0,0.431,SMS,False
戴丹,48,Female,Other,50-100k,Graduate,Other,None,Education,Yearly,204.09,816.36,2025-03-19,False,Phone,0,0,0.36,Phone,False
Carlos King,65,Male,GA,<50k,Graduate,Finance,None,Environment,Yearly,74.1,148.2,2025-04-06,False,SMS,2,3,0.187,SMS,False
Philip Reynolds,45,Male,Other,50-100k,Graduate,Tech,Other,Education,Sporadic,113.23,2264.6,2024-05-27,False,Email,1,12,0.198,Email,False
吴秀华,57,Male,OH,<50k,College,Tech,None,PovertyRelief,Yearly,102.62,410.48,2023-01-08,False,Email,1,0,0.703,Email,False
张丽丽,53,Male,NY,50-100k,Graduate,Other,Catholic,AnimalWelfare,Sporadic,188.95,377.9,2023-10-05,False,DirectMail,1,0,0.105,DirectMail,False
周东,51,Female,Other,50-100k,Graduate,Other,Catholic,Education,Yearly,238.36,1668.52,2024-10-12,False,Email,2,6,0.244,Email,False
马明,50,Male,CA,100-250k,HighSchool,Other,Other,Healthcare,Quarterly,822.25,26312.0,2024-09-16,False,Phone,0,0,0.227,Phone,False
祝建华,49,Female,CA,50-100k,Graduate,Healthcare,Catholic,Environment,Yearly,144.76,1302.84,2024-12-14,False,Email,1,0,0.215,Email,False
郭海燕,54,Female,Other,100-250k,HighSchool,Other,Christian,Healthcare,Yearly,587.49,2937.45,2025-04-12,False,Phone,2,0,0.195,Phone,False
Terry Hammond,38,Male,IL,<50k,College,Healthcare,Jewish,Environment,Monthly,73.43,2643.48,2022-12-21,False,Email,2,63,0.105,Email,False
曾洁,41,Female,GA,100-250k,College,Finance,Catholic,Education,Sporadic,766.77,7667.7,2023-08-07,False,Email,4,0,0.2,Email,False
Robert Nichols,71,Male,CA,<50k,Graduate,Public,Christian,AnimalWelfare,Monthly,119.11,5717.28,2025-03-29,True,Email,1,0,0.277,Email,False
龙玉,52,Female,Other,<50k,College,Public,Christian,Environment,Yearly,88.1,528.6,2023-06-02,False,Email,1,0,0.139,Email,False
吴梅,46,Male,Other,<50k,Graduate,Other,Catholic,Healthcare,Yearly,46.41,46.41,2023-02-26,False,Email,0,0,0.138,Email,False
张红梅,61,Female,Other,<50k,HighSchool,Tech,None,ChildDevelopment,Yearly,147.13,294.26,2024-11-06,False,SMS,1,0,0.365,SMS,False
张秀荣,66,Female,Other,50-100k,Graduate,Other,Other,Education,Sporadic,127.23,508.92,2025-05-25,False,DirectMail,1,0,0.427,DirectMail,False
邓玉英,61,Male,Other,50-100k,College,Public,Christian,Environment,Sporadic,203.89,611.67,2022-07-22,False,Email,3,0,0.34,Email,True
黄荣,38,Female,TX,100-250k,Graduate,Healthcare,Other,Other,Yearly,467.35,4206.15,2023-08-21,False,Email,2,0,0.134,Email,False
Christine Schaefer,20,Female,Other,100-250k,Graduate,Other,None,Healthcare,Yearly,728.9,5102.3,2024-08-20,False,DirectMail,0,15,0.421,DirectMail,False
Andrew Ferguson,60,Male,IL,<50k,College,Other,Christian,Education,Quarterly,62.75,2259.0,2023-08-05,True,DirectMail,4,0,0.212,DirectMail,False
杨柳,27,Male,Other,50-100k,College,Other,Christian,Education,Yearly,400.0,2400.0,2023-08-09,False,Email,0,0,0.255,Email,False
穆丽华,43,Male,Other,50-100k,HighSchool,Other,Catholic,ChildDevelopment,Sporadic,213.34,1280.04,2023-10-18,False,Email,0,0,0.389,Email,False
Christina Thomas,42,Female,Other,100-250k,College,Finance,Christian,AnimalWelfare,Quarterly,580.56,23222.4,2024-08-06,True,DirectMail,3,10,0.319,DirectMail,False
Andrew Sherman,24,Male,Other,100-250k,Graduate,Tech,Catholic,AnimalWelfare,Yearly,1000.0,3000.0,2023-04-14,False,DirectMail,1,7,0.491,DirectMail,False
Crystal Conway,18,Female,OH,<50k,College,Other,None,ChildDevelopment,Monthly,92.61,10001.88,2023-07-26,True,DirectMail,1,0,0.064,DirectMail,False
王秀兰,40,Male,Other,50-100k,College,Education,Christian,AnimalWelfare,Yearly,195.88,1175.28,2024-05-19,False,Email,1,0,0.16,Email,False
Daniel Howard,46,Male,FL,50-100k,Graduate,Other,Christian,AnimalWelfare,Sporadic,206.19,206.19,2024-05-20,True,Phone,0,16,0.582,Phone,False
梁娟,26,Male,NY,50-100k,College,Healthcare,Catholic,AnimalWelfare,Sporadic,308.34,2466.72,2024-07-13,False,Email,2,0,0.25,Email,False
Sarah Johnson,49,Female,CA,100-250k,College,Public,Catholic,PovertyRelief,Sporadic,1000.0,8000.0,2024-10-12,True,DirectMail,0,35,0.219,DirectMail,False
Elizabeth Fischer,40,Female,NC,<50k,Graduate,Finance,Catholic,Education,Monthly,48.7,4675.2,2024-01-21,False,Email,0,0,0.333,Email,False
黄彬,48,Female,Other,50-100k,Graduate,Other,Christian,Education,Monthly,117.66,14119.2,2024-09-08,True,Email,1,0,0.373,Email,False
曾楠,38,Female,Other,>250k,Graduate,Tech,Christian,Environment,Sporadic,2519.73,7559.19,2023-05-07,False,SMS,3,12,0.092,SMS,True
Robert Wright,38,Male,MI,50-100k,College,Other,None,PovertyRelief,Yearly,147.36,442.08,2025-04-26,False,Phone,1,0,0.388,Phone,False
潘岩,38,Female,IL,100-250k,College,Other,Christian,Environment,Sporadic,401.81,803.62,2025-05-16,False,Email,2,11,0.044,Email,False
张静,71,Female,IL,<50k,HighSchool,Healthcare,Catholic,Other,Quarterly,91.1,1457.6,2023-04-14,False,SMS,0,0,0.231,SMS,False
曹萍,40,Female,Other,50-100k,College,Healthcare,Catholic,PovertyRelief,Sporadic,264.57,529.14,2023-09-07,False,SMS,1,0,0.432,SMS,True
David Yates,20,Male,Other,50-100k,Graduate,Public,Christian,Healthcare,Monthly,211.67,17780.28,2024-08-28,True,Email,0,0,0.472,Email,False
Louis Barr,33,Male,Other,100-250k,College,Other,None,Education,Sporadic,750.56,7505.6,2023-05-27,False,Email,1,0,0.386,Email,False
黄洋,55,Female,CA,>250k,HighSchool,Healthcare,Christian,Education,Yearly,1379.46,11035.68,2025-02-22,False,Email,1,15,0.057,Email,False
赵玲,27,Male,TX,50-100k,Graduate,Public,Christian,Healthcare,Sporadic,113.67,454.68,2024-03-01,False,Email,0,20,0.254,Email,False
Russell Davis,35,Male,Other,50-100k,Graduate,Public,Jewish,AnimalWelfare,Monthly,400.0,24000.0,2023-05-16,False,Email,0,9,0.043,Email,True
Kaitlyn Martin,42,Female,IL,50-100k,Graduate,Other,Christian,Other,Yearly,168.36,673.44,2022-08-28,False,Email,3,17,0.091,Email,False
Gabriel Booth,25,Male,Other,<50k,HighSchool,Other,Catholic,Environment,Sporadic,116.47,1630.58,2025-04-18,False,Email,1,17,0.309,Email,False
王倩,52,Female,Other,<50k,Graduate,Education,Catholic,Other,Sporadic,51.43,514.3,2023-11-17,False,DirectMail,0,0,0.034,DirectMail,False
Fred Neal,42,Male,CA,50-100k,Graduate,Finance,Christian,Environment,Yearly,141.1,282.2,2025-06-05,False,SMS,3,0,0.132,SMS,True
Ruth Chavez,50,Female,NC,100-250k,College,Other,Catholic,Environment,Sporadic,669.83,4018.98,2023-05-04,False,Email,1,0,0.202,Email,False
Jill Lewis,28,Female,Other,>250k,HighSchool,Other,Christian,PovertyRelief,Yearly,1054.01,6324.06,2022-12-11,False,SMS,1,0,0.24,SMS,False
Dr. Noah Holmes,38,Male,Other,>250k,HighSchool,Education,Christian,PovertyRelief,Yearly,2647.42,13237.1,2025-04-17,True,DirectMail,0,0,0.282,DirectMail,False
黄文,85,Male,FL,<50k,HighSchool,Other,Catholic,Environment,Quarterly,68.17,1090.72,2022-10-17,True,DirectMail,1,0,0.084,DirectMail,False
Julie Case,45,Female,Other,100-250k,Graduate,Healthcare,Catholic,ChildDevelopment,Yearly,1000.0,2000.0,2024-12-20,False,Phone,1,0,0.375,Phone,False
蒋欢,23,Female,Other,100-250k,HighSchool,Healthcare,Christian,PovertyRelief,Yearly,376.69,753.38,2025-04-23,True,SMS,1,0,0.336,SMS,False
楼桂荣,36,Female,CA,>250k,College,Other,None,AnimalWelfare,Monthly,1362.48,147147.84,2023-07-24,True,DirectMail,1,0,0.384,DirectMail,False
田龙,46,Female,Other,<50k,Graduate,Public,Christian,PovertyRelief,Sporadic,107.14,964.26,2025-05-20,False,SMS,2,0,0.43,SMS,False
Angela Jimenez,45,Female,CA,50-100k,Graduate,Education,Christian,Education,Sporadic,191.99,1919.9,2023-01-15,False,Email,3,11,0.612,Email,False
Amber Ramirez,54,Female,Other,50-100k,Graduate,Tech,Catholic,Education,Yearly,368.68,368.68,2023-05-03,False,Email,1,0,0.333,Email,False
王芳,64,Male,Other,<50k,HighSchool,Other,Christian,Other,Yearly,106.44,1064.4,2025-03-02,False,Email,2,0,0.116,Email,False
Jessica Rodriguez,39,Female,TX,100-250k,Graduate,Other,Catholic,Healthcare,Sporadic,628.62,11315.16,2024-04-20,False,Email,2,20,0.216,Email,False
Megan Anderson,54,Female,GA,50-100k,Graduate,Healthcare,Catholic,Healthcare,Sporadic,183.93,1655.37,2024-03-31,True,Phone,1,0,0.152,Phone,True
Jaime Chan,55,Female,Other,100-250k,Graduate,Other,None,Environment,Yearly,604.15,3624.9,2023-10-28,False,Email,0,0,0.187,Email,False
赵志强,48,Female,Other,50-100k,College,Other,None,Healthcare,Sporadic,152.99,2753.82,2022-08-18,False,Email,1,0,0.444,Email,False
田秀梅,42,Female,Other,>250k,College,Tech,Other,Healthcare,Yearly,2502.41,7507.23,2025-06-23,False,Email,0,0,0.276,Email,False
吴琳,46,Male,CA,100-250k,College,Finance,None,Environment,Sporadic,707.92,707.92,2022-10-30,True,Email,3,0,0.241,Email,False
David Garcia,57,Male,IL,>250k,HighSchool,Other,None,AnimalWelfare,Yearly,1687.57,11812.99,2024-08-27,False,Phone,1,0,0.163,Phone,False
William Ochoa,35,Male,Other,50-100k,Graduate,Tech,Catholic,Other,Monthly,241.85,11608.8,2025-02-21,True,Email,2,0,0.111,Email,False
许雪,44,Male,CA,<50k,Graduate,Other,Christian,Environment,Yearly,111.1,999.9,2024-10-02,False,SMS,1,0,0.215,SMS,False
陈杰,45,Female,CA,<50k,College,Other,Christian,Environment,Sporadic,71.27,712.7,2023-12-06,True,Email,0,0,0.219,Email,False
马桂荣,47,Male,CA,50-100k,HighSchool,Education,Christian,ChildDevelopment,Monthly,329.22,3950.64,2024-05-29,True,SMS,1,0,0.533,SMS,True
黄丹,26,Female,FL,<50k,College,Other,None,Environment,Sporadic,79.69,239.07,2024-05-28,False,SMS,2,17,0.368,SMS,False
阎浩,57,Female,Other,50-100k,HighSchool,Education,Catholic,Healthcare,Sporadic,238.53,2385.3,2025-04-15,False,Email,4,0,0.533,Email,False
朱杰,55,Male,Other,<50k,College,Public,None,ChildDevelopment,Quarterly,51.91,622.92,2024-06-15,True,Email,2,28,0.52,Email,False
王金凤,53,Male,FL,100-250k,Graduate,Tech,None,PovertyRelief,Quarterly,737.28,5898.24,2025-04-23,False,Phone,1,14,0.195,Phone,True
Donna Sharp,22,Female,Other,<50k,College,Other,Christian,AnimalWelfare,Monthly,112.5,12150.0,2024-03-08,True,Phone,1,0,0.31,Phone,False
Christopher House,31,Male,Other,>250k,HighSchool,Public,Christian,Education,Sporadic,1616.72,29100.96,2024-12-15,False,Email,1,0,0.154,Email,True
王俊,46,Female,NC,100-250k,College,Tech,Christian,Other,Monthly,604.8,7257.6,2024-08-28,True,Email,2,0,0.291,Email,False
蒋波,20,Female,NC,50-100k,College,Other,None,Other,Sporadic,296.04,1776.24,2023-11-07,False,Email,2,0,0.045,Email,False
Dr. Stephanie Gonzalez,52,Female,FL,<50k,College,Education,Christian,Education,Monthly,118.29,1419.48,2023-08-10,False,DirectMail,0,0,0.136,DirectMail,False
张荣,53,Female,Other,<50k,College,Other,None,Other,Sporadic,64.75,388.5,2022-09-01,False,Phone,2,0,0.398,Phone,False
Kayla Payne,28,Female,Other,<50k,Graduate,Other,Catholic,Environment,Yearly,46.83,140.49,2024-03-26,False,DirectMail,1,0,0.37,DirectMail,False
Sharon Fields,33,Female,TX,100-250k,Graduate,Healthcare,Christian,ChildDevelopment,Sporadic,470.29,6584.06,2024-01-28,False,Email,0,0,0.074,Email,True
Heidi Smith,56,Female,Other,50-100k,College,Other,Christian,Education,Quarterly,379.1,9098.4,2024-04-24,True,Email,1,0,0.123,Email,False
艾峰,56,Female,CA,100-250k,Graduate,Healthcare,Christian,Other,Sporadic,574.55,3447.3,2024-09-26,False,Email,0,0,0.506,Email,False
沈桂芝,27,Female,Other,<50k,Graduate,Other,Christian,Healthcare,Quarterly,146.44,585.76,2023-09-23,False,Email,1,0,0.204,Email,False
刘宇,28,Male,NY,<50k,HighSchool,Other,Christian,Education,Yearly,84.64,507.84,2024-08-26,False,SMS,0,0,0.354,SMS,False
Kaitlin Hall MD,28,Female,FL,50-100k,Graduate,Healthcare,Christian,Education,Sporadic,222.15,1332.9,2024-06-27,True,SMS,1,0,0.099,SMS,False
Pamela King,40,Female,MI,<50k,HighSchool,Healthcare,Catholic,Other,Sporadic,36.97,739.4,2025-03-21,False,DirectMail,4,0,0.227,DirectMail,False
戴英,31,Other,FL,>250k,Graduate,Healthcare,Christian,Healthcare,Sporadic,1219.62,21953.16,2025-03-25,False,Email,0,0,0.246,Email,True
唐秀珍,55,Male,Other,<50k,Graduate,Healthcare,None,Healthcare,Sporadic,121.9,975.2,2023-05-26,False,Email,5,8,0.062,Email,True
卢利,18,Female,Other,100-250k,HighSchool,Finance,Catholic,AnimalWelfare,Yearly,572.71,1718.13,2025-02-08,False,Email,1,0,0.336,Email,False
魏畅,57,Female,PA,50-100k,College,Public,Christian,Education,Sporadic,130.17,130.17,2023-09-20,False,Email,1,3,0.291,Email,False
Vanessa Martin,74,Female,MI,>250k,Graduate,Other,Christian,Environment,Sporadic,991.48,2974.44,2024-07-29,False,Email,1,0,0.135,Email,False
Jamie Harper,40,Male,Other,50-100k,Graduate,Other,Catholic,ChildDevelopment,Monthly,130.25,15630.0,2025-03-24,False,Email,0,0,0.346,Email,False
张建平,41,Female,Other,100-250k,Graduate,Other,Christian,Other,Yearly,604.66,2418.64,2025-04-16,False,DirectMail,0,0,0.356,DirectMail,False
Kristina Ochoa,44,Female,OH,50-100k,Graduate,Other,Christian,PovertyRelief,Monthly,196.01,7056.36,2023-05-27,True,Email,2,0,0.659,Email,False
胡楠,18,Male,CA,50-100k,HighSchool,Other,Christian,Healthcare,Quarterly,283.31,2266.48,2025-04-13,True,Email,2,0,0.372,Email,False
Cheryl Davis,35,Female,Other,50-100k,College,Education,Christian,Education,Sporadic,179.05,1790.5,2022-12-13,False,Phone,4,3,0.265,Phone,False
Hunter Flowers,55,Male,Other,50-100k,HighSchool,Other,Christian,Education,Sporadic,132.57,1060.56,2023-06-01,False,SMS,2,0,0.277,SMS,False
王秀梅,50,Male,Other,<50k,College,Other,Christian,Healthcare,Yearly,96.39,867.51,2022-12-27,False,Email,0,0,0.237,Email,False
沈波,30,Male,TX,50-100k,Graduate,Other,None,Environment,Monthly,273.13,9832.68,2023-01-27,True,Email,1,38,0.419,Email,False
Jason Sullivan,43,Male,Other,50-100k,Graduate,Other,Catholic,Education,Monthly,242.7,20386.8,2025-05-15,False,SMS,1,0,0.204,SMS,False
Sharon Martin,49,Female,Other,>250k,HighSchool,Other,Catholic,Education,Yearly,1029.41,3088.23,2023-03-19,False,SMS,2,0,0.179,SMS,False
Melissa White,23,Female,NY,<50k,HighSchool,Public,Jewish,Environment,Sporadic,73.76,295.04,2024-04-13,False,DirectMail,1,0,0.264,DirectMail,True
杨秀华,31,Male,TX,100-250k,College,Healthcare,Christian,AnimalWelfare,Yearly,696.59,696.59,2024-02-27,True,Email,2,0,0.109,Email,False
易玉华,35,Female,NC,50-100k,HighSchool,Other,Christian,AnimalWelfare,Sporadic,221.14,884.56,2024-09-29,False,SMS,0,0,0.215,SMS,False
Jacob Simmons,54,Male,Other,<50k,College,Other,Other,ChildDevelopment,Sporadic,150.0,2100.0,2022-12-06,True,Email,0,0,0.258,Email,False
Brenda Fox,40,Female,NY,100-250k,College,Finance,Other,Environment,Sporadic,383.79,3070.32,2022-08-10,False,SMS,2,0,0.093,SMS,False
Carrie Ramos,51,Female,Other,100-250k,College,Other,Catholic,AnimalWelfare,Monthly,825.11,69309.24,2024-03-27,True,Email,1,0,0.189,Email,False
Dana Gonzales,38,Female,Other,<50k,Graduate,Other,Catholic,ChildDevelopment,Sporadic,55.74,111.48,2023-12-18,False,Phone,3,0,0.501,Phone,False
袁鑫,40,Female,Other,>250k,College,Other,None,AnimalWelfare,Monthly,1484.99,89099.4,2023-07-07,True,Email,1,0,0.103,Email,False
Cody Smith,32,Male,TX,100-250k,Graduate,Healthcare,Christian,Environment,Quarterly,603.17,7238.04,2025-06-07,True,DirectMail,4,47,0.408,DirectMail,False
Margaret Moreno,39,Female,CA,50-100k,HighSchool,Other,Christian,ChildDevelopment,Monthly,194.79,7012.44,2025-02-09,False,Email,0,0,0.256,Email,False
Kevin Smith,50,Male,Other,50-100k,Graduate,Finance,Catholic,PovertyRelief,Yearly,382.88,3445.92,2024-10-02,False,Email,2,0,0.236,Email,False
Cody Morales,26,Male,Other,<50k,College,Public,Christian,Environment,Sporadic,57.57,575.7,2024-07-27,False,Email,3,0,0.398,Email,False
柏旭,41,Female,Other,50-100k,College,Other,Christian,Healthcare,Monthly,184.98,2219.76,2024-02-16,True,Email,0,0,0.221,Email,False
赵莹,47,Male,Other,50-100k,Graduate,Healthcare,None,Education,Yearly,162.47,1462.23,2025-01-22,False,SMS,0,0,0.294,SMS,False
文华,47,Male,Other,<50k,College,Tech,Christian,PovertyRelief,Yearly,73.37,220.11,2025-04-28,False,Email,0,0,0.243,Email,False
杨娜,52,Male,Other,100-250k,College,Finance,None,Education,Yearly,484.04,1452.12,2023-04-21,False,Email,1,0,0.831,Email,False
张红梅,27,Male,IL,50-100k,College,Healthcare,Other,PovertyRelief,Sporadic,208.17,1665.36,2024-03-31,False,Email,0,18,0.121,Email,True
Michelle King MD,37,Female,NY,50-100k,Graduate,Tech,Christian,PovertyRelief,Yearly,222.15,1999.35,2023-06-30,False,Email,0,0,0.351,Email,False
汪帅,47,Female,Other,<50k,Graduate,Education,Christian,Environment,Sporadic,114.97,1379.64,2023-03-06,False,Email,2,0,0.653,Email,False
许桂兰,34,Other,TX,100-250k,Graduate,Healthcare,None,Education,Sporadic,651.04,9114.56,2025-06-07,False,DirectMail,0,0,0.238,DirectMail,False
张畅,42,Male,IL,50-100k,College,Other,Christian,Environment,Sporadic,192.28,3076.48,2023-04-22,False,Email,2,0,0.336,Email,False
